站名,省,经纬度,省内火车站数量
元坝,四川,"105.960826999999,32.329154",181
汉源,四川,"102.904193,29.2360149999999",181
长河坝,四川,"102.940954,29.3126229999999",181
华蓥,四川,"106.777147,30.366102",181
高兴,四川,"106.727065,30.2785909999999",181
马村,四川,"103.605211999999,29.815543",181
吴场,四川,"103.655933,29.881411",181
简阳,四川,"104.55079,30.3819899999999",181
石桥镇,四川,"104.513499999999,30.4234839999999",181
庙子沟,四川,"104.609205,30.300166",181
灵仙庙,四川,"104.481165,30.5812449999999",181
养马河,四川,"104.502334,30.5125439999999",181
江油,四川,"104.766712,31.7840859999999",181
五凤溪,四川,"104.490854,30.627129",181
开江,四川,"107.797056,30.916041",181
共和,四川,"103.311235,29.3006579999999",181
峨边,四川,"103.18351,29.2617569999999",181
乐山,四川,"103.574524999999,29.752465",181
柏村,四川,"103.18351,29.2617569999999",181
金口河,四川,"103.103973,29.291422",181
关村坝,四川,"103.025318,29.291464",181
代湾,四川,"103.458628,29.314952",181
刘沟,四川,"103.514838,29.268153",181
轸溪,四川,"103.560946,29.320581",181
沙湾,四川,"103.535653,29.4153039999999",181
冕宁,四川,"102.191086,28.2874489999999",181
黄家坝,四川,"102.169398,27.478109",181
德昌,四川,"102.184791,27.40002",181
蒲坝,四川,"102.304955,27.229015",181
乐跃,四川,"102.320938,27.298016",181
麻栗,四川,"102.190938,27.540765",181
小高,四川,"102.272395,27.3573279999999",181
埃岱,四川,"102.803906,29.035556",181
甘洛,四川,"102.760268,28.9816199999999",181
南尔岗,四川,"102.760268,28.9816199999999",181
新铁村,四川,"102.239531,28.315645",181
漫水湾,四川,"102.161759,28.210511",181
西昌北,四川,"102.193022,27.967929",181
黄联关,四川,"102.199944,27.6889849999999",181
黄水塘,四川,"102.186604,27.610927",181
经久,四川,"102.208292,27.773757",181
礼州,四川,"102.189432999999,28.0590949999999",181
西昌南,四川,"102.212746999999,27.841449",181
西昌,四川,"102.222875,27.8806949999999",181
月华,四川,"102.17989,28.1475569999999",181
联合乡,四川,"102.465701999999,28.2759569999999",181
铁口,四川,"102.531716,28.245398",181
新凉,四川,"102.525612,28.2440479999999",181
冕山,四川,"102.308814,28.358041",181
瓦祖,四川,"102.553462,28.207615",181
沙马拉达,四川,"102.564712,28.230989",181
白果,四川,"102.602755,28.8170369999999",181
鲜滩,四川,"103.754424,29.9971679999999",181
眉山,四川,"103.8105,30.0673749999999",181
太和,四川,"103.826858,30.1272319999999",181
青龙场,四川,"103.86395,30.300712",181
绵阳,四川,"104.714707,31.461407",181
南充东,四川,"106.15683,30.846632",181
蓬安,四川,"106.420137999999,31.0028229999999",181
南充,四川,"106.081672999999,30.809653",181
椑木镇,四川,"105.094114,29.5083279999999",181
隆昌,四川,"105.277615,29.35793",181
李市镇,四川,"105.395151,29.3168849999999",181
双凤驿,四川,"105.138693,29.446345",181
迎祥街,四川,"105.213149,29.391213",181
内江南,四川,"104.987762,29.543075",181
内江,四川,"105.034293,29.5906699999999",181
登瀛崖,四川,"104.725425,29.913502",181
陶家沟,四川,"104.811077999999,29.814105",181
资中,四川,"104.860851,29.7710809999999",181
丙谷,四川,"102.087928,26.837031",181
沙坝,四川,"102.125005,26.9591889999999",181
米易,四川,"102.111725,26.8785689999999",181
枣子林,四川,"101.94839,26.7542289999999",181
攀枝花,四川,"101.849594,26.5468839999999",181
牛坪子,四川,"101.823134999999,26.638248",181
桐子林,四川,"101.853916,26.713719",181
三堆子,四川,"101.836545,26.579794",181
彭州,四川,"103.922912999999,30.981743",181
安德,四川,"103.809594,30.876821",181
临巴溪,四川,"107.063581,30.8882149999999",181
渠县,四川,"107.008166,30.806857",181
遂宁,四川,"105.539462,30.5448899999999",181
大英东,四川,"105.276039,30.570083",181
蓬溪,四川,"105.70211,30.682212",181
喜德,四川,"102.40509,28.319458",181
乐武,四川,"102.624230999999,28.304203",181
红峰,四川,"102.620301,28.286798",181
尼波,四川,"102.627695,28.3444779999999",181
一步滩,四川,"104.685906,28.891857",181
南岸坝,四川,"104.648211,28.754469",181
宜宾,四川,"104.598754,28.754811",181
敬梓场,四川,"104.661471,28.982461",181
金沙湾,四川,"104.713294,28.480622",181
宜宾南,四川,"104.544327999999,28.707671",181
孔滩,四川,"104.678493,29.150112",181
王场,四川,"104.67589,29.0718789999999",181
横江,四川,"104.351797,28.554741",181
营山,四川,"106.564789,31.067532",181
尔赛河,四川,"102.639459,28.4052989999999",181
拉白,四川,"102.63505,28.577497",181
越西,四川,"102.602158,28.740272",181
白石岩,四川,"102.609101999999,28.758959",181
普雄,四川,"102.648589,28.518048",181
上普雄,四川,"102.657218,28.4655829999999",181
下普雄,四川,"102.625618,28.6344829999999",181
铁西,四川,"102.597598,28.6937059999999",181
资阳,四川,"104.649874,30.1273039999999",181
临江寺,四川,"104.617356,30.225729",181
墨池坝,四川,"104.661151,30.2091819999999",181
侯家坪,四川,"104.643092,30.079816",181
长沙埂,四川,"104.659252,30.007963",181
顺河场,四川,"104.657284,29.947116",181
大山铺,四川,"104.847962,29.4177509999999",181
自贡,四川,"104.788452,29.358806",181
俞冲,四川,"104.697608,29.2200689999999",181
花棚子,四川,"101.911995,26.261526",181
拉鲊,四川,"101.927536,26.375323",181
迤资,四川,"101.866102,26.460863",181
师庄,四川,"101.835801,26.104462",181
新江,四川,"101.835747,26.16289",181
蒲家,四川,"107.503243,31.3894589999999",181
石柱槽,四川,"107.594477,31.456848",181
朝天,四川,"105.919476,32.78719",181
大滩,四川,"105.926019,32.7930789999999",181
花楼坝,四川,"107.854674,31.7960689999999",181
万源,四川,"108.037254,32.0855439999999",181
青花,四川,"108.001949999999,31.9824209999999",181
宣汉,四川,"107.654126,31.545171",181
毛坝,四川,"107.740422,31.618593",181
娄山关,贵州,"106.896159,28.037156",106
么铺,贵州,"105.83745,26.1799259999999",106
高峰,贵州,"106.341814,26.3900469999999",106
新平坝,贵州,"106.287774,26.412198",106
平坝,贵州,"106.293083,26.393191",106
化处,贵州,"105.616414,26.2125729999999",106
天龙,贵州,"106.168142,26.3717159999999",106
安顺,贵州,"105.939362,26.232941",106
两所屯,贵州,"106.005286,26.271553",106
墨冲,贵州,"107.462397,26.05405",106
都匀,贵州,"107.51111,26.235365",106
打羊,贵州,"107.569194,25.6486839999999",106
星朗,贵州,"107.489545,25.470969",106
独山,贵州,"107.543616,25.8673369999999",106
麻尾,贵州,"107.464996,25.347176",106
学庄,贵州,"107.56146,25.695713",106
朱石寨,贵州,"107.469708,25.3928109999999",106
黄丝,贵州,"107.403735,26.592793",106
福泉,贵州,"107.531961,26.6289389999999",106
高峰,贵州,"106.341814,26.3900469999999",106
贵定南,贵州,"115.007007,24.783534",106
贵定,贵州,"107.224545,26.585037",106
湖潮,贵州,"106.519405,26.446593",106
贵阳,贵州,"106.699594,26.5602519999999",106
息烽,贵州,"106.743477,27.081468",106
宝老山,贵州,"108.058477999999,26.835519",106
黄平,贵州,"108.095975,26.8703709999999",106
凯里,贵州,"107.972269999999,26.6063429999999",106
加劳,贵州,"108.005358,26.734583",106
桐木寨,贵州,"107.993323,26.685497",106
六个鸡,贵州,"107.780266,26.574719",106
六枝,贵州,"105.461106,26.228884",106
马嘎,贵州,"104.770441,26.626002",106
水城,贵州,"104.889644,26.579",106
六盘水,贵州,"104.84904,26.59502",106
那玉,贵州,"105.423362999999,26.254086",106
关寨,贵州,"105.220617,26.287391",106
高坪铺,贵州,"107.138807,26.5175319999999",106
麻江,贵州,"107.446378,26.472525",106
普定,贵州,"105.708927,26.2864439999999",106
黄桶,贵州,"105.682396,26.201166",106
龙里,贵州,"106.965582,26.454654",106
老罗堡,贵州,"106.899325,26.4652819999999",106
施秉,贵州,"108.12988,26.920456",106
茨冲,贵州,"105.10611,26.4955849999999",106
双水,贵州,"104.939051,26.554552",106
滥坝,贵州,"105.03788,26.549859",106
二道岩,贵州,"105.15773,26.367194",106
桐梓,贵州,"106.828134,28.1339849999999",106
凉风垭,贵州,"106.824549,28.2447529999999",106
大河坝,贵州,"106.840815,28.323252",106
红花园,贵州,"106.846868,28.068711",106
木竹河,贵州,"106.87257,28.639721",106
新场,贵州,"106.838218,28.2958029999999",106
三元坝,贵州,"106.834554,28.4937499999999",106
松坎,贵州,"106.869586,28.557565",106
九龙塘,贵州,"106.841785,28.3628779999999",106
蒙渡,贵州,"106.839775,28.4366249999999",106
太白,贵州,"106.849245999999,28.396609",106
元田坝,贵州,"106.836009,28.194706",106
玉屏,贵州,"108.930547,27.243379",106
草海,贵州,"104.259189,26.889308",106
梅花山,贵州,"104.667677,26.7032409999999",106
迤那,贵州,"103.884947,27.084899",106
花土坡,贵州,"103.839858,27.263904",106
蕉溪,贵州,"108.548019999999,27.0826719999999",106
青溪,贵州,"108.730564,27.123906",106
镇远,贵州,"108.40559,27.037958",106
老王洞,贵州,"108.476688,27.082932",106
羊坪,贵州,"108.827211,27.1824809999999",106
水花,贵州,"108.273214,27.0001029999999",106
织金,贵州,"105.758484999999,26.657423",106
遵义,贵州,"106.944361,27.706333",106
汇塘河,贵州,"106.919295,27.972158",106
松坝,贵州,"106.953721,27.918761",106
桃映,贵州,"109.016865999999,27.863878",106
松桃,贵州,"108.968518,28.080044",106
铜仁,贵州,"109.200042,27.743538",106
柏果,贵州,"104.501048999999,26.004255",106
盘关,贵州,"104.506292,25.899583",106
平田,贵州,"104.503838,25.838611",106
红果,贵州,"104.463303,25.717745",106
沙沱,贵州,"104.44118,25.7233799999999",106
上西铺,贵州,"104.471318999999,25.683492",106
平关,贵州,"104.345674,25.655083",106
雨格,贵州,"104.666177,26.1012619999999",106
鲁番,贵州,"104.532229,25.6241239999999",106
威箐,贵州,"104.555126,25.540596",106
小雨谷,贵州,"104.605121999999,25.474757",106
白鸡坡,贵州,"104.804299,26.441683",106
都格,贵州,"104.695325999999,26.361836",106
发耳,贵州,"104.809085999999,26.321121",106
玉舍,贵州,"104.811659,26.473458",106
营街,贵州,"104.788968,26.3025689999999",106
茅草坪,贵州,"104.744634,26.234264",106
三家寨,贵州,"104.666805,26.0968449999999",106
瓦窑田,贵州,"104.648612,25.385254",106
月亮田,贵州,"104.496821999999,25.928439",106
松河,贵州,"104.627056999999,26.041257",106
花家庄,贵州,"104.480408999999,25.7880059999999",106
威舍,贵州,"104.747016,25.287707",106
新坪田,贵州,"104.684943,25.322779",106
革居,贵州,"104.696755999999,25.113295",106
安龙,贵州,"105.240779,25.066913",106
册亨,贵州,"105.79311,24.995647",106
兴义,贵州,"104.984191999999,25.168903",106
民福寺,重庆,"106.466347,29.158061",74
七龙星,重庆,"106.432357,29.233843",74
小南垭,重庆,"106.395998,29.7265319999999",74
夏坝,重庆,"106.508685,29.075806",74
綦江,重庆,"106.660068,29.020682",74
双石桥,重庆,"105.834115999999,29.401288",74
磨心坡,重庆,"106.464665999999,29.855194",74
北碚,重庆,"106.427713999999,29.805098",74
茄子溪,重庆,"106.498232,29.429535",74
小南海,重庆,"106.428804,29.358673",74
石场,重庆,"106.406199,29.346848",74
大足,重庆,"105.733573,29.434901",74
长河碥,重庆,"105.77705,29.4185",74
丰都,重庆,"107.685813,29.848293",74
白涛,重庆,"107.49768,29.551418",74
磨溪,重庆,"107.404993,29.6396219999999",74
涪陵北,重庆,"107.272305,29.770968",74
涪陵,重庆,"107.328996,29.703541",74
白沙沱,重庆,"107.484469,29.518978",74
合川,重庆,"106.274265,29.963311",74
三汇坝,重庆,"106.575074,30.062438",74
白沙,重庆,"106.122367999999,29.0728079999999",74
古家沱,重庆,"106.20959,29.224219",74
江津,重庆,"106.237151999999,29.264353",74
平等,重庆,"106.022791,29.102322",74
油溪,重庆,"106.146071,29.20278",74
金刚沱,重庆,"106.10674,29.145623",74
茨坝,重庆,"105.930938,29.1133419999999",74
朱杨溪,重庆,"105.947484,29.06466",74
重庆南,重庆,"106.535871,29.498462",74
铜罐驿,重庆,"106.384765,29.297073",74
黄磏,重庆,"106.294766,29.271902",74
重庆西,重庆,"106.425028999999,29.4330229999999",74
梁平,重庆,"107.812524,30.717687",74
保家楼,重庆,"108.303235,29.427872",74
郁山,重庆,"108.426517,29.533878",74
高谷,重庆,"108.069112,29.3837249999999",74
干溪沟,重庆,"108.536545,29.485866",74
彭水,重庆,"108.231277,29.3644129999999",74
石门坎,重庆,"106.817787999999,28.6733249999999",74
镇紫街,重庆,"106.671808,28.790417",74
赶水,重庆,"106.70793,28.749835",74
东升坝,重庆,"106.675021,28.8906889999999",74
三江,重庆,"106.698446,28.950621",74
核桃园,重庆,"108.733082999999,29.4790819999999",74
鱼泉,重庆,"108.899103999999,29.1685149999999",74
黔江,重庆,"108.786186,29.446051",74
安富镇,重庆,"105.475689,29.367515",74
荣昌,重庆,"105.5775,29.3978579999999",74
峰高铺,重庆,"105.63294,29.4362029999999",74
广顺场,重庆,"105.52388,29.3720269999999",74
梨树湾,重庆,"106.42854,29.552406",74
重庆东,重庆,"106.432083,29.5091779999999",74
团结村,重庆,"106.37269,29.644873",74
石柱县,重庆,"108.092991,29.967734",74
潼南,重庆,"105.874073,30.222321",74
万州,重庆,"108.395238,30.757227",74
白马,重庆,"107.556406,29.409789",74
武隆,重庆,"107.772077,29.328999",74
中嘴,重庆,"107.844779,29.304662",74
珞璜,重庆,"106.428022,29.336248",74
龙池,重庆,"109.045293,28.606152",74
秀山,重庆,"109.011052,28.449608",74
柏林,重庆,"105.943884999999,29.167604",74
永川,重庆,"105.897004999999,29.344021",74
临江场,重庆,"105.946834999999,29.2331439999999",74
长潭沟,重庆,"108.973195,29.0710179999999",74
泔溪,重庆,"108.938958,28.98065",74
酉阳,重庆,"108.95779,28.81164",74
重庆北,重庆,"106.547216,29.610613",74
重庆,重庆,"106.543764,29.552726",74
长寿北,重庆,"107.07091,29.8824639999999",74
长寿,重庆,"106.959329,29.793257",74
梅江,重庆,"109.044955,28.265525",74
沙沙坡,云南,"104.048554,28.0147359999999",98
豆沙关,云南,"104.12889,28.0282449999999",98
盐津,云南,"104.240585,28.0810719999999",98
盐津北,云南,"104.240585,28.0810719999999",98
昭通北,云南,"104.240585,28.0810719999999",98
小关溪,云南,"103.969157,27.983895",98
大关,云南,"103.976847,27.8367779999999",98
曾家坪子,云南,"103.979118,27.702659",98
苍坪,云南,"103.981914,27.689473",98
岔河,云南,"103.868813,27.841086",98
水富,云南,"104.414413999999,28.610059",98
小儿坪,云南,"104.262756,28.501429",98
铜鼓溪,云南,"104.252827999999,28.420062",98
临江溪,云南,"104.22709,28.1746279999999",98
普洱渡,云南,"104.199562,28.2563",98
滩头,云南,"104.267039,28.317606",98
